movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt5433140,Fast X,2023,"","",crime,"",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,Louis Leterrier,/name/nm0504642/,"Vin Diesel, 
Jordana Brewster, 
Tyrese Gibson, 
Michelle Rodriguez","/name/nm0004874/,/name/nm0108287/,/name/nm0879085/,/name/nm0735442/","",""
tt11564570,Glass Onion,2022,PG-13,139 min,crime,7.2,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,Rian Johnson,/name/nm0426059/,"Daniel Craig, 
Edward Norton, 
Kate Hudson, 
Dave Bautista","/name/nm0185819/,/name/nm0001570/,/name/nm0005028/,/name/nm1176985/",333315.0,""
tt10365998,Infinity Pool,2023,R,117 min,crime,6.5,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",Brandon Cronenberg,/name/nm0188722/,"Alexander Skarsgård, 
Mia Goth, 
Cleopatra Coleman, 
Dunja Sepcic","/name/nm0002907/,/name/nm5301405/,/name/nm1671147/,/name/nm0091841/",6955.0,""
tt14138650,The Pale Blue Eye,2022,R,128 min,crime,6.6,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.",Scott Cooper,/name/nm0178376/,"Christian Bale, 
Harry Melling, 
Simon McBurney, 
Timothy Spall","/name/nm0000288/,/name/nm0577982/,/name/nm0564402/,/name/nm0001758/",85087.0,""
tt15789492,Infiesto,2023,TV-MA,96 min,crime,5.5,"Two detectives are called to a small mining town in the Asturian mountains where a young woman who had been left for dead for months has suddenly appeared, leaving the detectives to question what dark forces are at work.",Patxi Amezcua,/name/nm0025538/,"Isak Férriz, 
Iria del Río, 
Antonio Buíl, 
Juan Fernández","/name/nm1929945/,/name/nm4170579/,/name/nm0125663/,/name/nm1537814/",2081.0,""
tt1877830,The Batman,2022,PG-13,176 min,crime,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,/name/nm0716257/,"Robert Pattinson, 
Zoë Kravitz, 
Jeffrey Wright, 
Colin Farrell","/name/nm1500155/,/name/nm2368789/,/name/nm0942482/,/name/nm0268199/",672146.0,""
tt0068646,The Godfather,1972,R,175 min,crime,9.2,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,Francis Ford Coppola,/name/nm0000338/,"Marlon Brando, 
Al Pacino, 
James Caan, 
Diane Keaton","/name/nm0000008/,/name/nm0000199/,/name/nm0001001/,/name/nm0000473/",1875646.0,134966411.0
tt8946378,Knives Out,2019,PG-13,130 min,crime,7.9,"A detective investigates the death of the patriarch of an eccentric, combative family.",Rian Johnson,/name/nm0426059/,"Daniel Craig, 
Chris Evans, 
Ana de Armas, 
Jamie Lee Curtis","/name/nm0185819/,/name/nm0262635/,/name/nm1869101/,/name/nm0000130/",705622.0,165359751.0
tt10233718,Vadh,2022,"",110 min,crime,7.1,"After their son moves to USA, a middle-class married couple is relentlessly harassed by a loan shark.","Jaspal Singh Sandhu, 
Rajeev Barnwal",/name/nm8012613/,"Sanjay Mishra, 
Neena Gupta, 
Manav Vij, 
Saurabh Sachdeva","/name/nm2426355/,/name/nm0592799/,/name/nm0348481/,/name/nm2435847/,/name/nm8485910/",2704.0,""
tt0993846,The Wolf of Wall Street,2013,R,180 min,crime,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,/name/nm0000217/,"Leonardo DiCaprio, 
Jonah Hill, 
Margot Robbie, 
Matthew McConaughey","/name/nm0000138/,/name/nm1706767/,/name/nm3053338/,/name/nm0000190/",1430476.0,116900694.0
tt11291274,The Unbearable Weight of Massive Talent,2022,R,107 min,crime,7.0,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",Tom Gormican,/name/nm3230448/,"Nicolas Cage, 
Pedro Pascal, 
Tiffany Haddish, 
Sharon Horgan","/name/nm0000115/,/name/nm0050959/,/name/nm1840504/,/name/nm1279721/",97887.0,""
tt0110912,Pulp Fiction,1994,R,154 min,crime,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,/name/nm0000233/,"John Travolta, 
Uma Thurman, 
Samuel L. Jackson, 
Bruce Willis","/name/nm0000237/,/name/nm0000235/,/name/nm0000168/,/name/nm0000246/",2074027.0,107928762.0
