movie_id,movie_name,genre,description,director,star
tt15679400,Knock at the Cabin,horror,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.",M. Night Shyamalan,"Dave Bautista, 
Jonathan Groff, 
Rupert Grint, 
Nikki Amuka-Bird"
tt9764362,The Menu,horror,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",Mark Mylod,"Ralph Fiennes, 
Anya Taylor-Joy, 
Nicholas Hoult, 
Hong Chau"
tt8760708,M3GAN,horror,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Gerard Johnstone,"Allison Williams, 
Violet McGraw, 
Ronny Chieng, 
Amie Donald"
tt13051810,Viking Wolf,horror,"Thale (17) has just moved with her parents to a small town after her mother has a new job in the local police. After a student is killed brutally at a party Thale attends, she becomes a key witness. Was the killer an animal? A wolf?",Stig Svendsen,"Liv Mjönes, 
Elli Rhiannon Müller Osborne, 
Arthur Hakalahti, 
Sjur Vatne Brean"
tt10365998,Infinity Pool,horror,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",Brandon Cronenberg,"Alexander Skarsgård, 
Mia Goth, 
Cleopatra Coleman, 
Dunja Sepcic"
tt17663992,Scream VI,horror,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.","Matt Bettinelli-Olpin, 
Tyler Gillett","Melissa Barrera, 
Courteney Cox, 
Jenna Ortega, 
Jasmin Savoy Brown"
tt14138650,The Pale Blue Eye,horror,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.",Scott Cooper,"Christian Bale, 
Harry Melling, 
Simon McBurney, 
Timothy Spall"
tt13560574,X,horror,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,"Mia Goth, 
Jenna Ortega, 
Brittany Snow, 
Kid Cudi"
tt19623240,Winnie the Pooh: Blood and Honey,horror,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.",Rhys Frake-Waterfield,"Maria Taylor, 
Craig David Dowsett, 
Chris Cordell, 
Natasha Tosini"
tt13280054,Blood,horror,"Jess, a separated mother and nurse, moves with her daughter and young son Owen back into her old farmhouse. Shortly after settling in, Owen is bitten by the dog, resulting in a mysterious infection from the bite.",Brad Anderson,"Michelle Monaghan, 
Skeet Ulrich, 
Finlay Wojtak-Hissong, 
June B. Wilde"
tt21307994,Skinamarink,horror,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",Kyle Edward Ball,"Lucas Paul, 
Dali Rose Tetreault, 
Ross Paul, 
Jaime Hill"
tt15791034,Barbarian,horror,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,Zach Cregger,"Georgina Campbell, 
Bill Skarsgård, 
Justin Long, 
Matthew Patrick Davis"
tt18925334,Pearl,horror,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.",Ti West,"Mia Goth, 
David Corenswet, 
Tandi Wright, 
Matthew Sunderland"
tt15474916,Smile,horror,"After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity.",Parker Finn,"Sosie Bacon, 
Jessie T. Usher, 
Kyle Gallner, 
Robin Weigert"
tt10954984,Nope,horror,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,Jordan Peele,"Daniel Kaluuya, 
Keke Palmer, 
Brandon Perea, 
Michael Wincott"
tt14121726,Jeepers Creepers: Reborn,horror,"Forced to travel with her boyfriend, Laine begins to experience premonitions associated with the urban myth of The Creeper. She believes that something supernatural has been summoned - and that she is at the center of it all.",Timo Vuorensola,"Sydney Craven, 
Imran Adams, 
Jarreau Benjamin, 
Peter Brooke"
tt10168670,Bones and All,horror,"Maren, a young woman, learns how to survive on the margins of society.",Luca Guadagnino,"Timothée Chalamet, 
Taylor Russell, 
Mark Rylance, 
Kendle Coffey"
tt11245972,Scream,horror,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.","Matt Bettinelli-Olpin, 
Tyler Gillett","Melissa Barrera, 
Neve Campbell, 
Courteney Cox, 
David Arquette"
tt0144084,American Psycho,horror,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron,"Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage"
tt4589218,Five Nights at Freddy's,horror,"A troubled security guard begins working at Freddy Fazbear's Pizza. While spending his first night on the job, he realizes the night shift at Freddy's won't be so easy to make it through.",Emma Tammi,"Elizabeth Lail, 
Josh Hutcherson, 
Matthew Lillard, 
Mary Stuart Masterson"
tt10954652,Old,horror,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",M. Night Shyamalan,"Gael García Bernal, 
Vicky Krieps, 
Rufus Sewell, 
Alex Wolff"
tt8772262,Midsommar,horror,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,Ari Aster,"Florence Pugh, 
Jack Reynor, 
Vilhelm Blomgren, 
William Jackson Harper"
tt7144666,The Black Phone,horror,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",Scott Derrickson,"Mason Thames, 
Madeleine McGraw, 
Ethan Hawke, 
Jeremy Davies"
tt3427252,The Boogeyman,horror,Adaptation of Stephen King's 'The Boogeyman'.,Rob Savage,"Chris Messina, 
Sophie Thatcher, 
David Dastmalchian, 
Marin Ireland"
tt7784604,Hereditary,horror,A grieving family is haunted by tragic and disturbing occurrences.,Ari Aster,"Toni Collette, 
Milly Shapiro, 
Gabriel Byrne, 
Alex Wolff"
tt6160448,White Noise,horror,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world.",Noah Baumbach,"Adam Driver, 
Greta Gerwig, 
Don Cheadle, 
Madison Gaughan"
tt15676664,Venus,horror,Horror invades the concrete corridors of a cursed apartment complex on the outskirts of Madrid.,Jaume Balagueró,"Ester Expósito, 
Inés Fernández, 
Ángela Cremonte, 
Magüi Mira"
tt10403420,Terrifier 2,horror,"After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.",Damien Leone,"Lauren LaVera, 
Jenna Kanell, 
David Howard Thornton, 
Kailey Hyman"
tt4972582,Split,horror,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,M. Night Shyamalan,"James McAvoy, 
Anya Taylor-Joy, 
Haley Lu Richardson, 
Jessica Sula"
tt14642626,Sick,horror,"Due to the pandemic, Parker and her best friend decide to quarantine at the family lake house alone - or so they think.",John Hyams,"Gideon Adlon, 
Bethlehem Million, 
Dylan Sprayberry, 
Marc Menchaca"
tt5052448,Get Out,horror,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Jordan Peele,"Daniel Kaluuya, 
Allison Williams, 
Bradley Whitford, 
Catherine Keener"
tt0117571,Scream,horror,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",Wes Craven,"Neve Campbell, 
Courteney Cox, 
David Arquette, 
Skeet Ulrich"
tt13841850,Men,horror,A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,Alex Garland,"Jessie Buckley, 
Rory Kinnear, 
Paapa Essiedu, 
Gayle Rankin"
tt8110652,Bodies Bodies Bodies,horror,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.",Halina Reijn,"Amandla Stenberg, 
Maria Bakalova, 
Rachel Sennott, 
Chase Sui Wonders"
tt9419884,Doctor Strange in the Multiverse of Madness,horror,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",Sam Raimi,"Benedict Cumberbatch, 
Elizabeth Olsen, 
Chiwetel Ejiofor, 
Benedict Wong"
tt13223398,Beast,horror,A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.,Baltasar Kormákur,"Liyabuya Gongo, 
Martin Munro, 
Daniel Hadebe, 
Thapelo Sebogodi"
tt0078748,Alien,horror,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,Ridley Scott,"Sigourney Weaver, 
Tom Skerritt, 
John Hurt, 
Veronica Cartwright"
tt13345606,Evil Dead Rise,horror,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",Lee Cronin,"Alyssa Sutherland, 
Lily Sullivan, 
Morgan Davies, 
Nell Fisher"
tt11866324,Prey,horror,"Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.",Dan Trachtenberg,"Amber Midthunder, 
Dakota Beavers, 
Dane DiLiegro, 
Stormee Kipp"
tt3567288,The Visit,horror,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,M. Night Shyamalan,"Olivia DeJonge, 
Ed Oxenbould, 
Deanna Dunagan, 
Peter McRobbie"
tt9639470,Last Night in Soho,horror,"An aspiring fashion designer is mysteriously able to enter the 1960s, where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.",Edgar Wright,"Thomasin McKenzie, 
Anya Taylor-Joy, 
Matt Smith, 
Diana Rigg"
tt1259521,The Cabin in the Woods,horror,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",Drew Goddard,"Kristen Connolly, 
Chris Hemsworth, 
Anna Hutchison, 
Fran Kranz"
tt2494362,Bone Tomahawk,horror,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.",S. Craig Zahler,"Kurt Russell, 
Patrick Wilson, 
Matthew Fox, 
Richard Jenkins"
tt12873562,The Invitation,horror,"A young woman is courted and swept off her feet, only to realize a gothic conspiracy is afoot.",Jessica M. Thompson,"Nathalie Emmanuel, 
Thomas Doherty, 
Sean Pertwee, 
Hugh Skinner"
tt0046876,Creature from the Black Lagoon,horror,A strange prehistoric beast lurks in the depths of the Amazonian jungle. A group of scientists try to capture the animal and bring it back to civilization for study.,Jack Arnold,"Richard Carlson, 
Julie Adams, 
Richard Denning, 
Antonio Moreno"
tt0116367,From Dusk Till Dawn,horror,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,"Harvey Keitel, 
George Clooney, 
Juliette Lewis, 
Quentin Tarantino"
tt0081505,The Shining,horror,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick,"Jack Nicholson, 
Shelley Duvall, 
Danny Lloyd, 
Scatman Crothers"
tt13259610,The Outwaters,horror,Four travelers encounter menacing phenomena while camping in a remote stretch of the Mojave Desert.,Robbie Banfitch,"Robbie Banfitch, 
Angela Basolis, 
Scott Schamell, 
Michelle May"
tt6644200,A Quiet Place,horror,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",John Krasinski,"Emily Blunt, 
John Krasinski, 
Millicent Simmonds, 
Noah Jupe"
tt1273235,A Serbian Film,horror,"\"An aging porn star agrees to participate in an \"\"art film\"\" in order to make a clean break from the business","only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film.\"",/name/nm3094978/
tt1396484,It,horror,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Andy Muschietti,"Bill Skarsgård, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis"
tt14905554,She Came from the Woods,horror,"In 1987, a group of counselors accidentally unleash a decades' old evil on the last night of summer camp.",Erik Bloomquist,"Cara Buono, 
Clare Foley, 
Spencer List, 
William Sadler"
tt9224104,The Meg 2: The Trench,horror,Plot unknown. Sequel to the 2018 film 'The Meg'.,Ben Wheatley,"Jason Statham, 
Cliff Curtis, 
Sienna Guillory, 
Skyler Samuels"
tt3099498,Tusk,horror,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,Kevin Smith,"Justin Long, 
Michael Parks, 
Haley Joel Osment, 
Genesis Rodriguez"
tt11851548,Orphan: First Kill,horror,"After orchestrating a brilliant escape from an Estonian psychiatric facility, Esther travels to America by impersonating the missing daughter of a wealthy family.",William Brent Bell,"Isabelle Fuhrman, 
Julia Stiles, 
Rossif Sutherland, 
Hiro Kanagawa"
tt14549466,Crimes of the Future,horror,"Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.",David Cronenberg,"Viggo Mortensen, 
Léa Seydoux, 
Kristen Stewart, 
Scott Speedman"
tt2131532,Hidden,horror,A family takes refuge in a bomb shelter to avoid a dangerous outbreak.,"Matt Duffer, 
Ross Duffer","Alexander Skarsgård, 
Andrea Riseborough, 
Emily Alyn Lind, 
Steven Elliot"
tt5715874,The Killing of a Sacred Deer,horror,"Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",Yorgos Lanthimos,"Barry G. Bernson, 
Herb Caillouet, 
Bill Camp, 
Raffey Cassidy"
tt6823368,Glass,horror,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",M. Night Shyamalan,"James McAvoy, 
Bruce Willis, 
Samuel L. Jackson, 
Anya Taylor-Joy"
tt7798634,Ready or Not,horror,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,"Matt Bettinelli-Olpin, 
Tyler Gillett","Samara Weaving, 
Adam Brody, 
Mark O'Brien, 
Henry Czerny"
tt4263482,The VVitch: A New-England Folktale,horror,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",Robert Eggers,"Anya Taylor-Joy, 
Ralph Ineson, 
Kate Dickie, 
Julian Richings"
tt8004664,Come Play,horror,A monster named Larry manifests itself through smart phones and mobile devices. Feature film version of the 2017 short film.,Jacob Chase,"Azhy Robertson, 
Gillian Jacobs, 
John Gallagher Jr., 
Winslow Fegley"
tt14253846,Speak No Evil,horror,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.,Christian Tafdrup,"Morten Burian, 
Sidsel Siem Koch, 
Fedja van Huêt, 
Karina Smulders"
tt6857112,Us,horror,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,Jordan Peele,"Lupita Nyong'o, 
Winston Duke, 
Elisabeth Moss, 
Tim Heidecker"
tt13857556,Candy Land,horror,"\"A seemingly naive and devout young woman finds her way in the underground world of truck stop sex workers a.k.a. \"\"lot lizards.\"\"\"",John Swab,"Olivia Luccardi, 
Sam Quartin, 
Eden Brolin, 
Owen Campbell"
tt12004038,Watcher,horror,"A young American woman moves with her husband to Bucharest, and begins to suspect that a stranger who watches her from the apartment building across the street may be a local serial killer decapitating women.",Chloe Okuno,"Maika Monroe, 
Karl Glusman, 
Burn Gorman, 
Tudor Petrut"
tt1441395,Under the Skin,horror,"A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",Jonathan Glazer,"Scarlett Johansson, 
Jeremy McWilliams, 
Lynsey Taylor Mackay, 
Dougie McConnell"
tt16127696,There's Something Wrong with the Children,horror,"A family takes a weekend trip with longtime friends and their two young children, but, they suspect something supernatural when the kids behave strangely after disappearing into the woods overnight.",Roxanne Benjamin,"Alisha Wainwright, 
Amanda Crew, 
Carlos Santos, 
Zach Gilford"
tt0119345,I Know What You Did Last Summer,horror,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,Jim Gillespie,"Jennifer Love Hewitt, 
Sarah Michelle Gellar, 
Anne Heche, 
Ryan Phillippe"
tt15289312,Float,horror,"When a vlogger and her crew embark on their annual river float to commemorate the untimely loss of their friend, they are plunged into a life and death battle with a mysterious local, a sinister paranormal force, and their own fears.",Zac Locke,"Kaya Coleman, 
Ophelia Lichtenstein, 
Kate Mayhew, 
Grant Morningstar"
tt1457767,The Conjuring,horror,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,James Wan,"Patrick Wilson, 
Vera Farmiga, 
Ron Livingston, 
Lili Taylor"
tt5108870,Morbius,horror,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",Daniel Espinosa,"Jared Leto, 
Matt Smith, 
Adria Arjona, 
Jared Harris"
tt0289043,28 Days Later,horror,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",Danny Boyle,"Cillian Murphy, 
Naomie Harris, 
Christopher Eccleston, 
Alex Palmer"
tt0093437,The Lost Boys,horror,"After moving to a new town, two brothers discover that the area is a haven for vampires.",Joel Schumacher,"Jason Patric, 
Corey Haim, 
Dianne Wiest, 
Barnard Hughes"
tt1131734,Jennifer's Body,horror,A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,Karyn Kusama,"Megan Fox, 
Amanda Seyfried, 
Adam Brody, 
Johnny Simmons"
tt1262416,Scream 4,horror,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",Wes Craven,"Neve Campbell, 
Courteney Cox, 
David Arquette, 
Lucy Hale"
tt3605418,Knock Knock,horror,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",Eli Roth,"Keanu Reeves, 
Lorenza Izzo, 
Ana de Armas, 
Aaron Burns"
tt1034415,Suspiria,horror,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",Luca Guadagnino,"Chloë Grace Moretz, 
Tilda Swinton, 
Doris Hick, 
Malgorzata Bela"
tt13103732,The Offering,horror,A family struggling with loss find themselves at the mercy of an ancient demon trying to destroy them from the inside.,Oliver Park,"Nick Blood, 
Emily Wiseman, 
Paul Kaye, 
Allan Corduner"
tt8332922,A Quiet Place Part II,horror,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",John Krasinski,"Emily Blunt, 
Millicent Simmonds, 
Cillian Murphy, 
John Krasinski"
tt1148204,Orphan,horror,A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.,Jaume Collet-Serra,"Vera Farmiga, 
Peter Sarsgaard, 
Isabelle Fuhrman, 
CCH Pounder"
tt14993352,Consecration,horror,"After the alleged suicide of her priest brother, Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account, she uncovers murder, sacrilege and a disturbing truth about herself.",Christopher Smith,"Jena Malone, 
Danny Huston, 
Ian Pirie, 
Janet Suzman"
tt15090124,Mad God,horror,"The Assassin travels through a nightmare underworld of tortured souls, ruined cities and wretched monstrosities forged from the primordial horrors of the unconscious mind of Phil Tippett, the world's preeminent stop-motion animator.",Phil Tippett,"Alex Cox, 
Niketa Roman, 
Satish Ratakonda, 
Harper Taylor"
tt0816711,World War Z,horror,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,Marc Forster,"Brad Pitt, 
Mireille Enos, 
Daniella Kertesz, 
James Badge Dale"
tt5918982,Possessor,horror,An agent works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.,Brandon Cronenberg,"Andrea Riseborough, 
Christopher Abbott, 
Jennifer Jason Leigh, 
Rossif Sutherland"
tt2798920,Annihilation,horror,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",Alex Garland,"Natalie Portman, 
Jennifer Jason Leigh, 
Tessa Thompson, 
Benedict Wong"
tt0084787,The Thing,horror,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,"Kurt Russell, 
Wilford Brimley, 
Keith David, 
Richard Masur"
tt0884328,The Mist,horror,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",Frank Darabont,"Thomas Jane, 
Marcia Gay Harden, 
Laurie Holden, 
Andre Braugher"
tt12830948,Fear,horror,A much needed getaway and a celebration weekend turns into a nightmare due to the contagious airborne threat.,Deon Taylor,"Tyler Abron, 
Jessica Allain, 
Mezi Atwood, 
Andrew Bachelor"
tt12921446,The Exorcist,horror,"Sequel to the 1973 film about a 12-year-old girl who is possessed by a mysterious demonic entity, forcing her mother to seek the help of two priests to save her.",David Gordon Green,"Ellen Burstyn, 
Leslie Odom Jr., 
Ann Dowd, 
Raphael Sbarge"
tt0108473,The Vanishing,horror,The boyfriend of an abducted woman never gives up the search as the abductor looks on.,George Sluizer,"Jeff Bridges, 
Kiefer Sutherland, 
Nancy Travis, 
Sandra Bullock"
tt10399608,Piggy,horror,An overweight teen is bullied by a clique of cool girls poolside while holidaying in her village. The long walk home will change the rest of her life.,Carlota Pereda,"Laura Galán, 
Richard Holmes, 
Carmen Machi, 
Irene Ferreiro"
tt11358390,Renfield,horror,Dracula's henchman and inmate at the lunatic asylum.,Chris McKay,"Nicolas Cage, 
Nicholas Hoult, 
Awkwafina, 
Brandon Scott Jones"
tt4281724,Terrifier,horror,"On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.",Damien Leone,"Jenna Kanell, 
Samantha Scaffidi, 
David Howard Thornton, 
Catherine Corcoran"
tt13403046,Fresh,horror,"FRESH follows Noa (Daisy Edgar-Jones), who meets the alluring Steve (Sebastian Stan) at a grocery store and - given her frustration with dating apps - takes a chance and gives him her number.",Mimi Cave,"Daisy Edgar-Jones, 
Sebastian Stan, 
Jojo T. Gibbs, 
Andrea Bang"
tt0070047,The Exorcist,horror,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",William Friedkin,"Ellen Burstyn, 
Max von Sydow, 
Linda Blair, 
Lee J. Cobb"
tt0054215,Psycho,horror,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,"Anthony Perkins, 
Janet Leigh, 
Vera Miles, 
John Gavin"
tt0093773,Predator,horror,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,John McTiernan,"Arnold Schwarzenegger, 
Carl Weathers, 
Kevin Peter Hall, 
Elpidia Carrillo"
tt0119081,Event Horizon,horror,A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.,Paul W.S. Anderson,"Laurence Fishburne, 
Sam Neill, 
Kathleen Quinlan, 
Joely Richardson"
tt9271672,Prey for the Devil,horror,A nun prepares to perform an exorcism and comes face to face with a demonic force with mysterious ties to her past.,Daniel Stamm,"Jacqueline Byers, 
Debora Zhecheva, 
Christian Navarro, 
Posy Taylor"
tt13521006,Beau Is Afraid,horror,A decades-spanning portrait of one of the most successful entrepreneurs of all time.,Ari Aster,"Joaquin Phoenix, 
Parker Posey, 
Amy Ryan, 
Nathan Lane"
tt1029234,Martyrs,horror,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.",Pascal Laugier,"Morjana Alaoui, 
Mylène Jampanoï, 
Catherine Bégin, 
Robert Toupin"
tt8228288,The Platform,horror,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,Galder Gaztelu-Urrutia,"Ivan Massagué, 
Zorion Eguileor, 
Antonia San Juan, 
Emilio Buale"
tt5109784,Mother!,horror,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",Darren Aronofsky,"Jennifer Lawrence, 
Javier Bardem, 
Ed Harris, 
Michelle Pfeiffer"
tt6535880,Haunt,horror,"\"On Halloween, a group of friends encounter an \"\"extreme\"\" haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.\"","Scott Beck, 
Bryan Woods","Katie Stevens, 
Will Brittain, 
Lauryn Alisa McClain, 
Andrew Lewis Caldwell"
tt0120082,Scream 2,horror,"Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",Wes Craven,"Neve Campbell, 
Courteney Cox, 
David Arquette, 
Jada Pinkett Smith"
tt5700672,Train to Busan,horror,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Sang-ho Yeon,"Gong Yoo, 
Jung Yu-mi, 
Ma Dong-seok, 
Su-an Kim"
tt0082933,Possession,horror,A woman starts exhibiting increasingly disturbing behavior after asking her husband for a divorce. Suspicions of infidelity soon give way to something much more sinister.,Andrzej Zulawski,"Isabelle Adjani, 
Sam Neill, 
Margit Carstensen, 
Heinz Bennent"
tt0993840,Army of the Dead,horror,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",Zack Snyder,"Dave Bautista, 
Ella Purnell, 
Ana de la Reguera, 
Omari Hardwick"
tt0363547,Dawn of the Dead,horror,"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",Zack Snyder,"Sarah Polley, 
Ving Rhames, 
Mekhi Phifer, 
Jake Weber"
tt5606664,Doctor Sleep,horror,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",Mike Flanagan,"Ewan McGregor, 
Rebecca Ferguson, 
Kyliegh Curran, 
Cliff Curtis"
tt2737304,Bird Box,horror,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",Susanne Bier,"Sandra Bullock, 
Trevante Rhodes, 
John Malkovich, 
Sarah Paulson"
tt0103874,Dracula,horror,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.,Francis Ford Coppola,"Gary Oldman, 
Winona Ryder, 
Anthony Hopkins, 
Keanu Reeves"
tt13314558,Day Shift,horror,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.",J.J. Perry,"Jamie Foxx, 
Dave Franco, 
Natasha Liu Bordizzo, 
Meagan Good"
tt0360486,Constantine,horror,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",Francis Lawrence,"Keanu Reeves, 
Rachel Weisz, 
Djimon Hounsou, 
Shia LaBeouf"
